Name,Menu,Category,Location
Taaza food truck,Chitti Punugulu,Tiffins,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Idly,Tiffins,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Ghee Karam Idly,Tiffins,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Ghee Karam Dosa,Tiffins,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Plain Dosa,Dosas,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Onion Dosa,Dosas,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Chitti Uthappam,Tiffins,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Masala Dosa,Dosas,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Onion Masala Dosa,Dosas,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Pani Puri,Chaat,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Dahi puri,Chaat,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Masala Puri,Chaat,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Samosa chaat,Chaat,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Pav Bhaji,Chaat,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Veg Manchurian,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Chilli Chicken,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Chicken Manchurian,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Veg Noodles/Fried Rice,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Veg Manchurian Noodles/Fried Rice,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Chicken 65,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Chicken Noodles/Fried Rice,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Egg Noodles/Fried Rice,Fast Food,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Grape Soda,Drinks,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Soft Drinks,Drinks,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Masala Coke,Drinks,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Lemon Soda(sweet/salt/masala),Drinks,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Taaza food truck,Mango Lassi,Drinks,"1555 E Sandy Lake Rd,Coppell,TX 75019"
Babai Bandi,Idly,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Ghee Idly,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Sambar Idly,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Babai Idly,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Ghee karam Idly,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Moringa Karam Idly,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Utappam,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Onion Utappam,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Onion Chilli Utappam,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Special Utappam,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Cheese corn Utappam,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Wada,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Plain wada,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Sambar wada,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Veg fried rice,Fast Food,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Egg fried rice,Fast Food,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Chicken Fried rice,Fast Food,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Dosas,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Plain Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Ghee roast dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Onion Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Egg Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Upma Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Babai Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Ghee Karam Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Nellore Ghee Karam Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Masala Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Cheese Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Chocolate Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Paneer Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Pulihora Dosa,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Plain Pesarattu,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Onion Pesarattu,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Onion Chilli Pesarattu,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,upma persarattu,Tiffins,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Bezawada punugulu,Specials,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Ghee Karam punugulu,Specials,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Mysore Bonda,Specials,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,poori,Specials,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Gobi fry,Starters,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,crispy corn,Starters,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,chicken pakodi,Starters,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Chat,Chaat,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,pani puri,Chaat,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Dahi puri,Chaat,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Egg Bajji Mixture,Chaat,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Mirchi Bajji Mixture,Chaat,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Aloo Samosa,SNACKS,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Onion Samosa,SNACKS,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
Babai Bandi,Paneer Samosa,SNACKS,"1028 S welch St Denton, Tx (one more opened in Mckinney)"
